Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-July-2020,261.50,273.45,259.00,270.85,263.641905142190477074,2369146,34849,624606165.00,1670935,70.53,14.45,9.35
17-July-2020,260.00,263.70,252.00,261.50,260.237008196721311475,854000,10296,222242405.00,165213,19.35,11.70,1.50
16-July-2020,263.00,268.30,255.10,262.00,261.867866081690113442,2878292,29289,753732184.00,875298,30.41,13.20,-1.00
15-July-2020,237.00,265.50,233.80,262.95,258.142342956246482546,6313161,76545,1629694172.00,1920628,30.42,31.70,25.95
14-July-2020,229.00,231.60,224.20,225.05,227.587399299961108950,449975,4823,102408640.00,100018,22.23,7.40,-3.95
13-July-2020,224.00,229.00,222.75,227.55,226.312360950662634181,385205,4592,87176653.00,77291,20.06,6.25,3.55
10-July-2020,221.60,223.45,219.45,222.00,221.705822164971999159,109461,1753,24268141.00,20023,18.29,4.00,0.40
9-July-2020,224.85,224.85,219.80,221.60,221.855945925496229413,198245,2445,43981832.00,56324,28.41,5.05,-3.25
8-July-2020,225.45,227.60,222.45,223.00,225.106298591998434547,551917,5868,124239993.00,379893,68.83,5.15,-2.45
7-July-2020,222.60,228.30,222.10,224.75,225.676909820574219624,420118,6025,94810932.00,146802,34.94,6.20,2.15
6-July-2020,226.80,227.25,221.80,222.75,224.317995979694047902,176106,2490,39503745.00,56485,32.07,5.45,-4.05
3-July-2020,224.00,228.40,222.80,224.70,225.718914746254391957,326449,5038,73685714.00,168454,51.60,5.60,0.70
2-July-2020,220.00,225.30,220.00,224.70,224.230597514696033931,322536,2827,72322440.00,197518,61.24,5.30,4.70
1-July-2020,220.10,222.00,218.35,218.95,219.599517830481924761,163428,2822,35888710.00,52968,32.41,3.65,-1.15
30-June-2020,219.75,221.85,218.00,219.70,220.058215377426451977,102722,1470,22604820.00,23381,22.76,3.85,-0.05
29-June-2020,224.00,225.85,218.65,219.65,221.773097314948109729,199363,2863,44213350.00,36226,18.17,7.20,-4.35
26-June-2020,218.75,229.90,218.60,225.35,226.000182678496591792,1395895,15892,315472525.00,445642,31.93,11.30,6.60
25-June-2020,217.90,221.95,215.50,218.45,218.990646674334832528,145189,2298,31795033.00,31424,21.64,6.45,0.55
24-June-2020,222.80,223.95,217.70,218.15,219.618691628640880208,234490,4277,51498387.00,70490,30.06,6.25,-4.65
23-June-2020,215.25,222.30,213.10,220.65,219.078960614924154819,220515,3765,48310197.00,62629,28.40,9.20,5.40
22-June-2020,222.15,222.15,216.90,218.00,218.262854359335388466,281247,5149,61385773.00,94386,33.56,5.25,-4.15
19-June-2020,217.00,223.90,215.00,222.15,218.236527655987143927,531422,5534,115975692.00,230878,43.45,8.90,5.15
18-June-2020,217.65,219.10,214.60,218.20,217.579527869476460312,441361,5373,96031118.00,105158,23.83,4.50,0.55
17-June-2020,210.60,218.55,210.60,217.85,216.277910746173932340,964306,9162,208558087.00,139799,14.50,7.95,7.25
16-June-2020,217.50,217.80,209.70,212.45,213.130947066333188978,2394563,13491,510355480.00,79691,3.33,8.10,-5.05
15-June-2020,212.00,217.95,208.05,213.75,213.056119015573928090,416080,5807,88648390.00,54681,13.14,9.90,1.75
12-June-2020,209.90,209.90,206.40,208.00,208.299788547453991560,985091,7959,205194247.00,88809,9.02,3.50,-1.90
11-June-2020,217.70,217.70,212.35,212.80,215.641538608990128110,313010,3246,67497958.00,40446,12.92,5.35,-4.90
10-June-2020,220.50,221.05,215.75,216.95,217.480577240572084022,682627,5771,148458114.00,51718,7.58,5.30,-3.55
9-June-2020,225.00,226.25,217.20,218.30,223.113422949670962389,302549,4313,67502743.00,123434,40.80,9.05,-6.70
8-June-2020,218.05,227.10,215.85,226.05,223.229277120880326194,784073,9125,175028049.00,454341,57.95,11.25,8.00
5-June-2020,219.50,220.10,215.25,218.80,218.013238621240351344,300560,3569,65526059.00,102268,34.03,4.85,-0.70
4-June-2020,212.90,220.00,210.20,217.05,214.551230274651654964,211213,3279,45316009.00,63857,30.23,9.80,4.15
3-June-2020,216.00,217.45,210.65,211.30,212.515847913118488863,226055,3262,48040270.00,86286,38.17,6.80,-4.70
2-June-2020,215.50,218.35,211.20,215.90,216.061169312868370934,310319,2754,67047886.00,167608,54.01,7.15,0.40
1-June-2020,214.00,220.40,213.45,214.75,217.187707252856996947,440585,5290,95689646.00,93410,21.20,6.95,0.75
29-May-2020,199.80,214.75,196.35,212.55,204.082109500032459926,2479981,10432,506119754.00,836458,33.73,18.40,12.75
28-May-2020,203.75,203.90,196.10,199.30,198.757457980869218912,271186,4247,53900240.00,60471,22.30,7.80,-4.45
27-May-2020,188.95,205.20,187.75,201.75,195.090277641582825053,611868,7601,119369498.00,275108,44.96,17.45,12.80
26-May-2020,189.00,193.15,185.95,188.95,189.985420264578310506,175449,4677,33332752.00,61689,35.16,7.20,-0.05
22-May-2020,188.20,190.60,186.50,188.90,188.688391455176191345,136925,1763,25836158.00,22364,16.33,4.10,0.70
21-May-2020,181.55,191.65,181.55,189.15,188.677821571106318633,161364,2565,30445808.00,41212,25.54,10.10,7.60
20-May-2020,184.00,185.85,182.40,185.00,184.250200006575558648,91247,1181,16812278.00,11220,12.30,3.45,1.00
19-May-2020,183.30,185.70,178.20,184.45,182.514704549163236813,110306,1736,20132467.00,25539,23.15,7.50,1.15
18-May-2020,183.00,184.90,179.75,182.30,181.806383017919505654,379977,2869,69082244.00,152073,40.02,5.15,-0.70
15-May-2020,186.05,186.30,182.80,183.50,184.374645080009777928,53181,990,9805228.00,17537,32.98,3.50,-2.55
14-May-2020,184.60,187.25,183.25,186.05,185.329353678722958960,105118,2479,19481451.00,26118,24.85,4.00,1.45
13-May-2020,192.00,192.00,185.20,189.70,188.232045759480262693,127449,2011,23989986.00,29894,23.46,6.80,-2.30
12-May-2020,184.00,187.95,183.00,187.00,185.881019830028328611,70247,1264,13057584.00,13389,19.06,4.95,3.00
11-May-2020,185.00,189.90,184.20,184.80,187.304135812359370537,143551,1742,26887696.00,30692,21.38,5.70,-0.20
8-May-2020,186.95,186.95,182.80,184.00,184.237973831678939807,77269,1901,14235884.00,17604,22.78,4.15,-2.95
7-May-2020,184.95,185.35,181.25,184.10,183.578912833518877592,135637,3472,24900093.00,27471,20.25,4.10,-0.85
6-May-2020,186.00,187.90,181.20,187.15,185.345819827533484190,98106,1918,18183537.00,19867,20.25,6.70,1.15
5-May-2020,191.80,193.35,182.25,184.00,187.638037449193464339,172714,3901,32407716.00,41142,23.82,11.10,-7.80
4-May-2020,185.00,191.10,183.30,190.15,188.135766384211090850,372920,7943,70159590.00,174608,46.82,7.80,5.15
30-April-2020,184.60,192.50,183.75,190.50,187.754597767291978363,260670,3996,48941991.00,111616,42.82,8.75,5.90
29-April-2020,180.40,182.40,179.40,180.70,180.846783536479614842,144149,2897,26068883.00,60732,42.13,3.00,0.30
28-April-2020,182.00,182.35,178.15,179.75,179.567465550957296830,109945,1783,19742545.00,31812,28.93,4.20,-2.25
27-April-2020,179.50,182.55,175.50,182.00,179.338701312447078746,188960,3890,33887841.00,47578,25.18,7.05,2.50
24-April-2020,181.00,181.00,177.00,177.65,178.237199351905743184,127142,3802,22661434.00,46468,36.55,4.00,-3.35
23-April-2020,180.85,182.50,177.30,181.15,180.702147611759840476,379631,2091,68600137.00,37351,9.84,5.20,0.30
22-April-2020,178.00,179.55,174.80,178.60,178.042241020472050885,290689,2425,51754921.00,79731,27.43,4.75,0.60
21-April-2020,181.00,181.00,174.00,178.15,176.893015814931058910,213153,3759,37705277.00,64620,30.32,7.00,-2.85
20-April-2020,188.00,188.55,180.20,181.15,183.429812829443780888,279638,6720,51293946.00,124306,44.45,8.35,-6.85
17-April-2020,190.00,193.50,185.60,187.00,188.393146506529406157,230802,5573,43481515.00,64058,27.75,7.90,-3.00
16-April-2020,175.30,189.55,175.30,188.10,186.578975944362605208,1438457,9057,268385834.00,167636,11.65,14.25,12.80
15-April-2020,190.80,193.50,186.00,186.55,189.519803421208387103,412252,6098,78129918.00,118318,28.70,7.50,-4.25
13-April-2020,198.00,198.60,182.95,189.45,189.282107987844946346,299793,8292,56745451.00,101418,33.83,15.65,-8.55
9-April-2020,197.20,202.35,195.25,196.65,197.916178146463661283,194806,3121,38555259.00,36625,18.80,7.10,-0.55
8-April-2020,190.05,200.00,189.00,193.15,195.278933289094415527,192892,3791,37667744.00,32319,16.75,11.00,3.10
7-April-2020,184.10,192.60,183.20,191.90,188.805225390630632362,208061,3721,39283004.00,36432,17.51,9.40,7.80
3-April-2020,190.05,190.05,177.80,180.00,181.597991846883091625,262231,4853,47620623.00,62636,23.89,12.25,-10.05
1-April-2020,197.00,197.00,187.10,189.75,190.324920777408853462,184922,5333,35195265.00,78265,42.32,9.90,-7.25
31-March-2020,188.00,199.55,185.70,196.60,194.016319869441044471,213237,4331,41371458.00,50197,23.54,13.85,8.60
30-March-2020,180.00,187.40,179.75,184.10,184.310172065318518676,187022,4065,34470057.00,39073,20.89,7.65,4.10
27-March-2020,185.00,189.50,181.75,183.50,185.392432102532804394,219559,2877,40704577.00,34399,15.67,7.75,-1.50
26-March-2020,175.45,186.55,172.80,183.35,180.588020772812999991,223754,2648,40407292.00,49075,21.93,13.75,7.90
25-March-2020,176.00,187.50,170.40,175.15,176.576665853807230384,328060,7062,57927741.00,45893,13.99,17.10,-0.85
24-March-2020,170.00,181.70,168.45,176.55,177.129404155623298265,221098,5242,39162957.00,40508,18.32,13.25,6.55
23-March-2020,169.00,177.00,165.95,170.35,173.416279578683116357,242193,3959,42000209.00,62088,25.64,11.05,1.35
20-March-2020,165.00,185.60,162.60,179.40,175.003570687002308878,563477,6995,98610487.00,77159,13.69,23.00,14.40
19-March-2020,167.80,171.30,159.60,161.95,166.448015617452906134,347816,7944,57893283.00,105586,30.36,11.70,-5.85
18-March-2020,174.70,178.50,168.50,169.80,174.468498167198350655,281809,3792,49166793.00,75690,26.86,10.00,-4.90
17-March-2020,184.80,185.50,170.85,173.80,181.694446521096548987,347782,3610,63190058.00,84120,24.19,14.65,-11.00
16-March-2020,197.95,197.95,178.50,179.70,185.355886008723360979,221245,5913,41009063.00,96104,43.44,19.45,-18.25
13-March-2020,191.00,204.25,170.05,197.40,188.894682992364660377,418318,6976,79018046.00,75080,17.95,34.20,6.40
12-March-2020,205.90,206.60,197.75,199.20,203.716742540815609855,313238,3542,63811825.00,106653,34.05,8.85,-6.70
11-March-2020,215.00,215.00,204.90,213.15,211.842272905830402907,211289,2677,44759942.00,50334,23.82,10.10,-1.85
9-March-2020,222.45,222.45,213.20,214.25,215.832169184957959389,144741,3394,31239764.00,51051,35.27,9.25,-8.20
6-March-2020,223.00,225.80,222.85,223.55,224.122858969174374160,76657,2241,17180586.00,34141,44.54,2.95,0.55
5-March-2020,228.90,233.90,228.75,229.60,231.224115225360969069,590009,1138,136424309.00,539113,91.37,5.15,0.70
4-March-2020,227.95,229.70,222.45,228.75,225.570237297510024782,94017,2018,21207437.00,27859,29.63,7.25,0.80
3-March-2020,222.15,225.00,220.60,223.65,223.013437010516894159,89380,2775,19932941.00,36389,40.71,4.40,1.50
2-March-2020,225.00,227.00,218.50,220.75,223.779238005736493299,204306,5947,45719441.00,72076,35.28,8.50,-4.25
28-February-2020,230.80,230.80,219.65,221.10,223.904281955186986683,188115,5150,42119754.00,88534,47.06,11.15,-9.70
27-February-2020,239.95,239.95,230.75,231.60,233.073054927516957042,150380,4858,35049526.00,60940,40.52,9.20,-8.35
26-February-2020,243.00,243.10,238.50,240.00,240.018147696176318319,108168,1478,25962283.00,23552,21.77,4.60,-3.00
25-February-2020,244.95,246.55,242.35,244.15,244.378411126330207565,94910,3127,23193955.00,27472,28.95,4.20,-0.80
24-February-2020,245.00,247.70,242.50,244.20,245.487788660716569061,78206,2214,19198618.00,27893,35.67,5.20,-0.80
20-February-2020,247.60,248.85,245.10,245.55,246.430722579307484967,77168,1728,19016566.00,30242,39.19,3.75,-2.05
19-February-2020,244.55,248.20,244.55,247.55,246.797664038089570004,67210,1687,16587271.00,30988,46.11,3.65,3.00
18-February-2020,243.75,244.80,241.20,244.10,242.872123866510394176,48633,628,11811600.00,15822,32.53,3.60,0.35
17-February-2020,243.00,244.85,242.00,243.75,243.294609316303531179,42592,883,10362404.00,18642,43.77,2.85,0.75
14-February-2020,243.75,245.20,242.15,243.00,242.940487482815248776,478622,1410,116276662.00,428175,89.46,3.05,-0.75
13-February-2020,245.10,245.95,242.55,243.75,243.862873997834852597,63737,904,15543088.00,33232,52.14,3.40,-1.35
12-February-2020,241.15,247.00,241.15,244.60,244.785106889572951920,117598,1612,28786239.00,55707,47.37,5.85,3.45
11-February-2020,240.55,242.80,239.95,241.15,241.198210961374094065,85409,1248,20600498.00,33879,39.67,2.85,0.60
10-February-2020,245.00,245.50,239.55,241.00,241.455739642714152256,52451,1939,12664595.00,18286,34.86,5.95,-4.00
7-February-2020,246.20,246.95,243.00,244.00,244.586351569166587655,84376,1443,20637218.00,31825,37.72,3.95,-2.20
6-February-2020,242.30,245.80,241.70,243.60,243.945078057884290665,67514,1349,16469708.00,17770,26.32,4.10,1.30
5-February-2020,241.85,243.00,237.50,242.30,240.418413167299056932,117807,2810,28322972.00,41802,35.48,5.50,0.45
4-February-2020,238.30,241.15,237.90,240.25,239.529285079422958590,87758,5128,21020611.00,37655,42.91,3.25,1.95
3-February-2020,237.90,240.10,235.30,237.45,237.411757379499314983,96348,2487,22874148.00,30195,31.34,4.80,-0.45
1-February-2020,237.45,239.50,234.50,236.05,236.151736705868188758,182731,2824,43152243.00,27360,14.97,5.00,-1.40
31-January-2020,240.00,240.00,235.05,236.80,237.057380317282044082,178075,3655,42213993.00,67497,37.90,4.95,-3.20
30-January-2020,246.70,246.95,240.30,240.80,242.301421174396827145,54462,1502,13196220.00,31393,57.64,6.65,-5.90
29-January-2020,244.75,247.35,243.30,246.70,246.052441669159437630,53488,1557,13160853.00,18449,34.49,4.05,1.95
28-January-2020,247.45,247.45,241.95,244.05,243.351196622531271648,76507,1581,18618070.00,25451,33.27,5.50,-3.40
27-January-2020,248.95,248.95,244.85,245.30,245.629551063699594101,49027,1330,12042480.00,19436,39.64,4.10,-3.65
24-January-2020,249.85,249.85,246.35,247.55,247.893504780745136828,54594,1620,13533498.00,22748,41.67,3.50,-2.30
23-January-2020,246.05,249.15,245.50,248.75,247.713958470316244936,47147,1388,11678970.00,19307,40.95,3.65,2.70
22-January-2020,247.35,251.80,245.45,246.05,248.339277001552450654,90180,2022,22395236.00,28957,32.11,6.35,-1.30
21-January-2020,248.75,248.75,246.25,247.05,247.158190484519853069,45736,1493,11304027.00,15144,33.11,2.50,-1.70
20-January-2020,251.45,251.45,247.30,248.00,248.428041837680391897,67977,1542,16887393.00,25141,36.98,4.15,-3.45
17-January-2020,252.70,253.75,250.00,251.00,251.830849923648193639,105433,1991,26551282.00,23542,22.33,3.75,-1.70
16-January-2020,249.50,252.50,247.20,250.25,250.071594229213779897,726972,4756,181795047.00,557268,76.66,5.30,0.75
15-January-2020,253.05,255.30,246.65,248.15,248.587790018520696947,365537,6931,90868035.00,112622,30.81,8.65,-4.90
14-January-2020,257.00,258.30,254.75,257.15,256.616136616755352060,193944,3724,49769160.00,65204,33.62,3.55,0.15
13-January-2020,253.55,257.85,253.00,254.90,255.538817097651374579,210719,2579,53846884.00,56640,26.88,4.85,1.35
10-January-2020,254.00,255.10,251.00,251.75,253.260681297361132590,71129,1243,18014179.00,15338,21.56,4.10,-2.25
9-January-2020,255.00,256.50,252.85,253.60,254.088497377173164748,103133,2537,26204909.00,25873,25.09,3.65,-1.40
8-January-2020,254.00,256.25,252.75,254.70,254.570215170377391161,109727,1797,27933226.00,25534,23.27,3.50,0.70
7-January-2020,253.40,256.20,250.30,255.20,253.741837856014796043,166531,1865,42255882.00,60761,36.49,5.90,1.80
6-January-2020,251.85,254.40,250.15,252.15,252.232523338263060366,171071,2169,43149670.00,55650,32.53,4.25,0.30
3-January-2020,249.00,252.70,247.50,250.80,251.084194235755409393,173171,2632,43480501.00,40485,23.38,5.20,1.80
2-January-2020,248.70,249.90,246.05,248.25,248.469553506681860561,48265,856,11992383.00,13350,27.66,3.85,-0.45
1-January-2020,247.00,248.55,245.95,247.75,247.871770905139679164,85589,788,21215097.00,37654,43.99,2.60,0.75
